id,teamname,offpass,offrush,offtotyds,defpass,defrush,deftotyds,pf,pa
1,Philadelphia Eagles,626,818,1444,963,366,1329,145,77
34,Washington Commanders,818,363,1181,733,531,1264,91,106
9,Buffalo Bills,614,504,1118,618,390,1008,87,64
18,Baltimore Ravens,405,475,880,377,176,553,53,41
15,Kansas City Chiefs,621,234,855,624,431,1055,77,83
22,Houston Texans,448,317,765,373,100,473,46,35
76,Los Angeles Rams,493,201,694,228,391,619,49,37
2,Detroit Lions,320,201,521,299,182,481,31,45
3,Green Bay Packers,195,107,302,121,169,290,10,22
8,Tampa Bay Buccaneers,183,101,284,268,82,350,20,23
21,Pittsburgh Steelers,251,29,280,165,299,464,14,28
4,Minnesota Vikings,163,106,269,202,90,292,9,27
17,Los Angeles Chargers,211,50,261,261,168,429,12,32
14,Denver Broncos,145,79,224,261,210,471,7,31
